+------------------+-------+
| Unigram          | Count |
| ('puddles', 'bus', 'left')                      |     1 |
| ('level', 'reaching', 'doors')                  |     1 |
| ('towards', 'river', 'tay')                     |     1 |
| ('traffic', 'unaware', 'approach')              |     1 |
| ('flooding', 'combination', 'water')            |     1 |
| ('permanent', 'solution', 'traffic')            |     1 |
| ('problems', 'shop', 'owners')                  |     1 |
| ('crescent', 'grill', 'blocked')                |     1 |
| ('happening', 'regularly', 'recently')          |     1 |
| ('road', 'dingwall', 'overflowing')             |     1 |
| ('blisland', 'dr', 'barely')                    |     1 |
| ('drivers', 'cannot', 'drive')                  |     1 |
| ('business', 'park', 'field')                   |     1 |
| ('smith', 'mr', 'mrs')                          |     1 |
| ('dean', 'road', 'burst')                       |     1 |
| ('still', 'rising', 'water')                    |     1 |
| ('running', 'high', 'threatening')              |     1 |
| ('park', 'fk', 'ba')                            |     1 |
| ('buildings', 'back', 'doors')                  |     1 |
| ('flooded', 'full', 'road')                     |     1 |
| ('flood', 'way', 'bridge')                      |     1 |
| ('burst', 'banks', 'properties')                |     1 |
| ('depth', 'several', 'inches')                  |     1 |
| ('streaming', 'water', 'ankle')                 |     1 |
| ('worse', 'us', 'matter')                       |     1 |
| ('inches', 'plus', 'outside')                   |     1 |
| ('millside', 'terrace', 'millside')             |     1 |
| ('corner', 'crossroads', 'formed')              |     1 |
| ('nice', 'cycle', 'see')                        |     1 |
| ('tree', 'roots', 'bridge')                     |     1 |
| ('road', 'flooded', 'quite')                    |     1 |
| ('work', 'lorries', 'week')                     |     1 |
| ('bridge', 'thorwald', 'road')                  |     1 |
| ('regular', 'feature', 'local')                 |     1 |
| ('dee', 'high', 'issue')                        |     1 |
| ('road', 'needs', 'close')                      |     1 |
| ('land', 'creeping', 'onto')                    |     1 |
| ('flooded', 'depth', 'inches')                  |     1 |
| ('surface', 'water', 'depth')                   |     1 |
| ('national', 'blood', 'transfusion')            |     1 |
| ('nearby', 'roads', 'properties')               |     1 |
| ('streams', 'flooding', 'near')                 |     1 |
| ('beside', 'property', 'craigton')              |     1 |
| ('levels', 'high', 'powerful')                  |     1 |
| ('coming', 'landfill', 'site')                  |     1 |
| ('entire', 'road', 'diverted')                  |     1 |
| ('river', 'tay', 'overtopping')                 |     1 |
| ('balmore', 'road', 'flooded')                  |     1 |
| ('pm', 'likely', 'close')                       |     1 |
| ('across', 'castle', 'circle')                  |     1 |
| ('width', 'road', 'pasable')                    |     1 |
| ('flood', 'warning', 'signs')                   |     1 |
| ('dee', 'looking', 'flood')                     |     1 |
| ('across', 'road', 'getting')                   |     1 |
| ('rainfall', 'cars', 'difficulty')              |     1 |
| ('along', 'duntocher', 'road')                  |     1 |
| ('theres', 'water', 'coming')                   |     1 |
| ('one', 'direction', 'often')                   |     1 |
| ('put', 'flooding', 'signs')                    |     1 |
| ('burn', 'broke', 'banks')                      |     1 |
| ('area', 'serviced', 'septic')                  |     1 |
| ('causing', 'severe', 'traffic')                |     1 |
| ('moraine', 'ave', 'almond')                    |     1 |
| ('philip', 'view', 'selkirk')                   |     1 |
| ('local', 'roads', 'electrical')                |     1 |
| ('warning', 'helped', 'people')                 |     1 |
| ('filling', 'field', 'forecast')                |     1 |
| ('impassable', 'dont', 'risk')                  |     1 |
| ('worse', 'last', 'hours')                      |     1 |
| ('far', 'entrance', 'charlton')                 |     1 |
| ('prperties', 'immediately', 'risk')            |     1 |
| ('garden', 'surrounding', 'fields')             |     1 |
| ('heading', 'towards', 'balmullo')              |     1 |
